Index,Sales,Quarter
Q1_86,1734.83,1
Q2_86,2244.96,2
Q3_86,2533.8,3
Q4_86,2154.96,4
Q1_87,1547.82,1
Q2_87,2104.41,2
Q3_87,2014.36,3
Q4_87,1991.75,4
Q1_88,1869.05,1
Q2_88,2313.63,2
Q3_88,2128.32,3
Q4_88,2026.83,4
Q1_89,1910.6,1
Q2_89,2331.16,2
Q3_89,2206.55,3
Q4_89,2173.97,4
Q1_90,2148.28,1
Q2_90,2739.31,2
Q3_90,2792.75,3
Q4_90,2556.01,4
Q1_91,2480.97,1
Q2_91,3039.52,2
Q3_91,3172.12,3
Q4_91,2879,4
Q1_92,2772,1
Q2_92,3550,2
Q3_92,3508,3
Q4_92,3243.86,4
Q1_93,3056,1
Q2_93,3899,2
Q3_93,3629,3
Q4_93,3373,4
Q1_94,3352,1
Q2_94,4342,2
Q3_94,4461,3
Q4_94,4017,4
Q1_95,3854,1
Q2_95,4936,2
Q3_95,4895,3
Q4_95,4333,4
Q1_96,4194,1
Q2_96,5253,2
